Best Individual,Best Fitness
"[[92, 12, 50], [94, 11, 146], [171, 26, 179], [138, 13, 121], [155, 16, 171], [39, 16, 31]]",259.16799475463375
"[[28, 16, 41], [131, 30, 78], [67, 26, 24], [54, 24, 55], [26, 27, 100], [162, 11, 154]]",268.9595816621559
"[[64, 11, 102], [170, 20, 138], [102, 11, 113], [141, 23, 34], [142, 28, 129], [83, 26, 112]]",270.5600190206367
"[[65, 21, 112], [173, 28, 172], [158, 20, 67], [56, 10, 71], [132, 16, 103], [58, 10, 99]]",271.58007262770565
